1	My Truck	Breland	https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
2	Billy blu	MARCO SENTIERI	https://open.spotify.com/track/4inVsdKlvaqA55ZTZXaOlP
3	death bed (feat. beabadoobee)	Powfu	https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
4	Pura Pura Lupa	Mahen	https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
5	Any song	Zico	https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
6	8 marzo - Sanremo 2020	Tecla	https://open.spotify.com/track/2eeGgsNdlPPxafoeGCtxRj
7	Ivana	Soulstice	https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz
8	The Box	Roddy Ricch	https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9	Vai Bene Così	Leo Gassmann	https://open.spotify.com/track/4A9WiZ8ShlpOaoULibEwup
10	Secukupnya	Hindia	https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
11	Psycho!	MASE	https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
12	Per sentirmi vivo	Fasma	https://open.spotify.com/track/5U3ln41nbhztweY70Mv5b3
13	Sunday Best	Surfaces	https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
14	Yetinmeyi Bilir Misin?	Sezen Aksu	https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3
15	Godzilla (feat. Juice WRLD)	Eminem	https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
16	Boys Ain't Shit	SAYGRACE	https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
17	Say So	Doja Cat	https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18	Uslanmıyor Bu	Zeynep Bastık	https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
19	BLACKOUT	Lil Kapow	https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
20	Svag	Victor Leksell	https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
21	Blinding Lights	The Weeknd	https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
22	Life Is Good (feat. Drake)	Future	https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
23	GOODMORNINGTOKYO!	TOKYO’S REVENGE	https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
24	Tudo Ok	Thiaguinho MT	https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
25	Black Swan	BTS	https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
26	All I Want - From ""High School Musical: The Musical: The Series""	Olivia Rodrigo	https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
27	Rindu Dalam Hati	Arsy Widianto	https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
28	High Fashion (feat. Mustard)	Roddy Ricch	https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
29	Welcome to Wonderland	Anson Seabra	https://open.spotify.com/track/3JfHYZKy5JmE5Fv4gDTCiz
30	Falling	Trevor Daniel	https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
31	Kraazy	Likybo	https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
32	P*$$Y Fairy (OTW)	Jhené Aiko	https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
33	Tusa	KAROL G	https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
34	Opaul	Freddie Dredd	https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
35	Kazılı Kuyum	Yüzyüzeyken Konuşuruz	https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
36	Roses - Imanbek Remix	SAINt JHN	https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
37	Working Bitch	Ashnikko	https://open.spotify.com/track/7g7w2WUpLcqsqH2M9XR7ZF
38	You Broke My Heart Again	Teqkoi	https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
39	I LOVE...	Official HIGE DANdism	https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
40	Due noi	Fadi	https://open.spotify.com/track/63DM6V4Jhvi9JfDFJ7UKBR
41	Let Her Go	The Kid LAROI	https://open.spotify.com/track/0c6SqvH32BMgbEFvpHc2gs
42	Rehat	Kunto Aji	https://open.spotify.com/track/1BzMyhmPzYnGWK6RBF5TTj
43	SUGAR	BROCKHAMPTON	https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
44	fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack)	Ardhito Pramono	https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A
45	You should be sad	Halsey	https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
46	Yummy	Justin Bieber	https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
47	Amor Tumbado	Natanael Cano	https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
48	Joke's On You	Charlotte Lawrence	https://open.spotify.com/track/2D0FX6WiP1GKGL3yCdXxs7
49	Suicidal	YNW Melly	https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
50	Inolvidable	Ovy On The Drums	https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
